<placeholder>,-0.0015266101,-0.006807426
<beginning of the sequence>,-0.1632782,0.13320994
<unknown word>,0.0009139588,0.068310045
<not used>,-0.036215674,-0.045737397
the,0.020334847,-0.032436043
and,0.07716698,-0.054039586
a,-0.0051783067,-0.0026843846
of,-0.021563096,0.012127355
to,-0.011194394,-0.008872597
is,0.022656413,-0.06570519
br,-0.021549657,0.018942798
in,-0.02051311,-0.041422255
it,0.05500197,-0.07005482
i,0.0018071996,-0.033624265
this,-0.06108378,-0.023057602
that,-0.006871313,-0.008221357
was,-0.06410041,0.012416501
as,0.01909916,-0.0049422537
for,-0.025622945,0.0032256325
with,0.011194375,0.009491093
movie,-0.044545554,-0.007461528
but,0.013344497,0.006560702
film,0.019498443,-0.010085409
on,0.025817946,0.07974927
not,-0.113734186,0.09841226
you,0.13465515,-0.09347807
are,-0.049155675,0.033623103
his,0.057173364,-0.006870524
have,-0.044555984,0.049715586
he,0.004663425,-0.020846393
be,-0.008213114,0.09216545
one,-0.04384051,0.0040266635
all,0.014762513,-0.045784798
at,-0.026358683,-0.048367713
by,0.013627566,0.07172564
an,-0.0062462045,0.02736936
they,-0.01231515,-0.022160716
who,0.010498508,-0.03589134
so,-0.058276743,-0.05627926
from,-0.024254961,0.00481735
like,0.016225787,-0.034123793
her,0.04138416,-0.0027004161
or,-0.03600338,-0.007730754
just,-0.14188252,0.13559432
about,0.04277414,0.11722975
it's,0.13253629,-0.017900052
out,-0.00452133,-0.025310848
has,0.051146902,-0.09169838
if,-0.09368362,0.058354568
some,0.021241982,-0.03855773
there,-0.06541599,0.006983575
what,0.077497914,-0.018825557
good,0.21364273,-0.089230925
more,0.0666328,-0.08137081
when,0.042956334,-0.069888555
very,0.16090223,-0.0701332
up,-0.047145557,-0.07511215
no,-0.19016252,0.2307236
time,0.027245617,-0.008289291
she,0.08516576,-0.0056246067
even,-0.23749201,0.07178923
my,0.10146277,-0.048916753
would,-0.14452034,0.10081831
which,-0.024256498,0.004010012
only,-0.14973688,0.14009915
story,-0.01695255,-0.05132651
really,0.0021535503,-0.0064174347
see,0.13239177,-0.069071285
their,0.05066228,-0.068290725
had,0.0012459325,0.10461176
can,0.07819137,-0.015833246
were,-0.14963186,0.047936905
me,0.024399411,0.014178975
well,0.23501073,-0.25774935
than,-0.020734085,-0.0487607
we,0.07362437,0.0071647926
much,-0.13591735,-0.02614759
been,-0.17402916,0.05088387
bad,-0.46937752,0.48682418
get,0.002199197,-0.005610115
will,0.071030885,-0.13426393
do,-0.036833905,0.026492815
also,0.24594356,-0.068457514
into,-0.028232623,-0.0456276
people,-0.00990177,-0.0027464784
other,0.02899021,-0.116200246
first,0.027875107,-0.10092764
great,0.48846337,-0.442625
because,-0.030770281,0.02826032
how,0.058991935,0.042695045
him,0.089624666,-0.09923034
most,0.15023454,-0.17729105
don't,-0.16374515,0.05400829
made,0.015446103,-0.018240098
its,0.10326282,-0.097034425
then,-0.16664183,-0.0058876956
way,0.15537637,0.011223729
make,-0.103207804,0.12979348
them,0.0028935678,0.023612875
too,-0.016623583,0.16639864
could,-0.048877,0.14074098
any,-0.18921563,0.12666866
movies,-9.5081225e-05,-0.025039433
after,-0.058544632,-0.045101915
think,0.052356057,-0.11378416
characters,0.0012973867,0.042430717
watch,0.13624129,-0.009831887
two,0.01139205,-0.041106023
films,0.07240665,0.080430955
character,0.018741095,0.0008798385
seen,0.121616066,-0.15897398
many,-0.01068022,0.06899604
being,0.027713565,0.030023497
life,0.15658765,-0.06233465
plot,-0.27105382,0.12154195
never,0.11818458,0.14941126
acting,-0.1676886,0.12897934
little,0.02305447,-0.052835178
best,0.41277415,-0.38769504
love,0.26771086,-0.09556283
over,-0.008939849,0.096792385
where,-0.02185976,-0.036639187
did,-0.1085844,0.0057748393
show,0.037764773,-0.08604806
know,0.14993425,-0.03143185
off,-0.13353857,0.077192634
ever,0.054665755,0.045087274
does,0.012480246,0.0579847
better,-0.16461153,0.1620755
your,0.026603423,0.11145679
end,-0.17435783,-0.12176365
still,0.23509389,-0.30341873
man,0.02241509,0.0026717917
here,-0.18426752,0.12253066
these,-0.031296365,-0.07901676
say,-0.10436561,-0.11136664
scene,0.09334767,0.018342048
while,-0.049022842,-0.0656458
why,-0.2610135,0.07527423
scenes,0.0024370842,0.091371834
go,-0.04179498,0.12815684
such,-0.119193286,0.08114362
something,-0.13358313,0.0655232
through,-0.00589242,0.09312756
should,-0.048303105,0.15121548
back,0.09938374,0.023991972
i'm,-0.1416731,0.08964418
real,0.10299535,-0.041954592
those,-0.025609875,-0.050601445
watching,-0.13003284,0.11758412
now,0.20138083,-0.048862495
though,0.15220554,-0.038449552
doesn't,-0.18556446,0.19663395
years,0.048465997,-0.11448988
old,-0.122435756,-0.0651735
thing,-0.21858643,0.040634193
actors,-0.099159144,0.1101923
work,-0.008857756,-0.05362111
10,0.2590239,-0.04326811
before,-0.02955208,-0.025873825
another,-0.0015591922,-0.0074656713
didn't,-0.15753287,0.16757472
new,0.05120091,0.03454381
funny,0.018673578,0.062158957
nothing,-0.4603278,0.4018905
actually,-0.010131509,-0.10426416
makes,0.18969403,-0.2296914
director,-0.23249765,0.09001972
look,-0.1790469,-0.0029056207
find,0.106371574,-0.00043566094
going,-0.03700728,0.09066544
few,-0.024096703,0.00553275
same,-0.028439712,0.13323267
part,-0.09575695,-0.13421366
again,0.04966524,-0.060365845
every,0.028096713,0.09019752
lot,0.12257921,-0.05914615
cast,0.058968186,0.12566003
us,0.0847962,-0.15403391
quite,0.12856954,-0.13414331
down,-0.10277608,0.1584012
want,-0.049530987,0.084232435
world,0.23416929,-0.11609645
things,0.19127044,-0.114076644
pretty,-0.07589728,-0.0009923822
young,0.04323783,-0.0069905794
seems,-0.2023728,0.18718989
around,0.0461822,-0.040171415
got,-0.008583687,-0.04424215
horror,-0.15806225,0.06752636
however,-0.03852233,0.095045224
can't,-0.14287624,-0.0014188767
fact,-0.026582472,-0.10140456
take,0.14066713,0.14497603
big,0.1327927,0.07747838
enough,-0.17091995,0.12974662
long,-0.08645466,-0.050928243
